manufacturer,model,year,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,id,month,season,weekend,consumption(kWh/100km)_rolling_mean
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-15,107188,8.0,1.65,Green electricity,Summer tires,1,0,0,Normal,20.63,0,0,4.029999999999998,0,6,summer,weekday,19.424999999999997
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-14,107180,10.0,1.6,Green electricity,Summer tires,1,0,0,Normal,16.0,0,0,-0.6000000000000014,0,6,summer,weekday,18.314999999999998
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-14,107170,22.0,3.31,Green electricity,Summer tires,1,0,0,Normal,15.05,0,0,-1.5500000000000007,0,6,summer,weekday,15.525
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-06,107148,27.0,3.7,Green electricity,Summer tires,1,0,0,Normal,13.7,0,0,-2.900000000000002,0,12,winter,weekday,14.375
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-06,107121,11.0,1.8,Green electricity,Summer tires,1,0,0,Normal,16.36,0,0,-0.240000000000002,0,12,winter,weekday,15.03
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-11-06,107110,27.0,4.3,Green electricity,Summer tires,1,0,1,Normal,15.93,0,0,-0.6700000000000017,0,11,fall,weekend,16.145
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-11-06,107083,26.0,4.51,Green electricity,Summer tires,1,0,0,Normal,17.35,0,0,0.75,0,11,fall,weekend,16.64
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-10-06,107057,9.0,1.61,Green electricity,Summer tires,1,0,0,Normal,17.89,0,0,1.2899999999999991,0,10,fall,weekday,17.62
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-06,107048,9.0,1.82,Green electricity,Summer tires,1,0,1,Normal,20.22,0,0,3.619999999999997,0,9,fall,weekday,19.055
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-06,107039,6.0,1.14,Green electricity,Summer tires,1,0,1,Normal,19.0,0,0,2.3999999999999986,0,7,summer,weekday,19.61
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-06,107033,15.0,3.41,Green electricity,Summer tires,1,0,1,Fast,16.3,0,0,-0.3000000000000007,0,7,summer,weekday,17.65
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-06,107018,139.0,29.0,Green electricity,Summer tires,1,1,1,Fast,21.54,0,0,4.939999999999998,0,5,spring,weekday,18.92
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-06,106879,10.0,3.1,Green electricity,Summer tires,1,1,1,Fast,21.54,0,0,4.939999999999998,0,4,spring,weekday,21.54
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-06,106869,11.0,21.79,Green electricity,Summer tires,1,1,1,Fast,19.69,0,0,3.09,0,3,spring,weekend,20.615000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-06,106858,145.0,8.92,Green electricity,Summer tires,0,1,1,Fast,19.69,0,0,3.09,0,2,winter,weekend,19.69
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-31,106713,30.0,2.44,Green electricity,Summer tires,1,0,1,Moderate,14.14,0,0,-2.460000000000001,0,5,spring,weekday,16.915
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-31,106683,12.0,3.5,Green electricity,Summer tires,1,0,1,Moderate,14.14,0,0,-2.460000000000001,0,5,spring,weekday,14.14
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-30,106671,100.0,18.79,Green electricity,Summer tires,1,1,1,Fast,22.03,0,0,5.43,0,5,spring,weekday,18.085
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-30,106571,10.0,2.0,Green electricity,Summer tires,1,0,1,Normal,20.0,0,0,3.3999999999999986,0,5,spring,weekday,21.015
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-28,106561,14.0,3.0,Green electricity,Summer tires,1,0,1,Normal,21.43,0,0,4.829999999999998,0,5,spring,weekend,20.715
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-28,106547,3.0,14.92,Green electricity,Summer tires,1,0,0,Moderate,14.28,0,0,-2.320000000000002,0,5,spring,weekend,17.855
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-28,106544,8.0,5.0,Green electricity,Summer tires,1,0,0,Moderate,14.28,0,0,-2.320000000000002,0,5,spring,weekend,14.28
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-27,106536,166.0,5.0,Green electricity,Summer tires,0,1,1,Normal,14.28,0,0,-2.320000000000002,0,5,spring,weekday,14.28
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-19,106370,90.0,9.0,Green electricity,Summer tires,0,1,1,Moderate,14.28,0,0,-2.320000000000002,0,5,spring,weekday,14.28
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-18,106280,59.0,4.2,Green electricity,Summer tires,1,0,1,Moderate,13.51,0,0,-3.0900000000000016,0,5,spring,weekday,13.895
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-16,106221,97.0,16.0,Green electricity,Summer tires,1,1,1,Fast,19.79,1,0,3.1899999999999977,0,5,spring,weekday,16.65
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-14,106124,10.0,1.53,Green electricity,Summer tires,1,0,0,Moderate,15.3,0,0,-1.3000000000000007,0,5,spring,weekend,17.545
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-13,106114,20.0,3.34,Green electricity,Summer tires,1,0,1,Moderate,16.7,0,0,0.0999999999999978,0,5,spring,weekday,16.0
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-05,106094,64.0,11.14,Green electricity,Summer tires,1,0,1,Moderate,16.44,0,0,-0.1600000000000001,0,12,winter,weekday,16.57
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-10-05,106030,22.0,3.0,Green electricity,Summer tires,1,0,0,Normal,16.44,0,0,-0.1600000000000001,0,10,fall,weekday,16.44
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-05,106008,8.0,1.16,Green electricity,Summer tires,1,0,0,Normal,14.5,0,0,-2.1000000000000014,0,9,fall,weekday,15.47
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-05,106000,11.0,2.18,Green electricity,Summer tires,1,0,0,Normal,19.82,0,0,3.219999999999999,0,9,fall,weekday,17.16
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-05,105989,40.0,6.34,Green electricity,Summer tires,1,0,0,Normal,15.85,0,0,-0.7500000000000018,0,7,summer,weekday,17.835
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-05,105949,33.0,14.65,Green electricity,Summer tires,1,0,1,Normal,15.26,0,0,-1.3400000000000016,0,6,summer,weekend,15.555
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-05,105916,80.0,2.59,Green electricity,Summer tires,1,1,1,Moderate,15.26,0,0,-1.3400000000000016,0,4,spring,weekday,15.26
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-05,105836,15.0,3.6,Green electricity,Summer tires,1,0,0,Normal,24.0,0,0,7.399999999999999,0,3,spring,weekend,19.63
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-05,105821,130.0,24.3,Green electricity,Summer tires,1,1,1,Moderate,18.69,0,0,2.09,0,1,winter,weekday,21.345
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-05,105691,45.0,6.0,Green electricity,Summer tires,1,0,1,Normal,13.33,0,0,-3.2700000000000014,0,1,winter,weekday,16.01
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-29,105646,12.0,2.56,Green electricity,Summer tires,1,0,0,Normal,21.33,0,0,4.729999999999997,0,4,spring,weekday,17.33
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-28,105634,11.0,12.34,Green electricity,Summer tires,1,0,1,Normal,17.38,0,0,0.7799999999999976,0,4,spring,weekday,19.355
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-27,105623,70.0,1.74,Green electricity,Summer tires,1,1,1,Fast,17.38,0,0,0.7799999999999976,0,4,spring,weekday,17.38
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-26,105553,22.0,6.46,Green electricity,Summer tires,1,0,1,Normal,29.36,0,0,12.759999999999998,0,4,spring,weekday,23.37
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-25,105531,4.0,1.64,Green electricity,Summer tires,1,0,0,Normal,16.91,0,0,0.3099999999999987,0,4,spring,weekday,23.135
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-23,105527,21.0,8.8,Green electricity,Summer tires,1,0,1,Normal,16.91,0,0,0.3099999999999987,0,4,spring,weekend,16.91
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-13,105506,64.0,4.61,Green electricity,Summer tires,1,0,1,Normal,16.91,0,0,0.3099999999999987,0,4,spring,weekday,16.91
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-11-04,105442,22.0,3.16,Green electricity,Summer tires,1,0,1,Normal,14.36,0,0,-2.240000000000002,0,11,fall,weekday,15.635000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-10-04,105420,18.0,5.61,Green electricity,Summer tires,1,0,1,Normal,31.17,0,1,14.57,0,10,fall,weekday,22.765
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-04,105402,10.0,12.0,Green electricity,Summer tires,1,0,1,Moderate,24.04,0,0,7.439999999999998,0,9,fall,weekend,27.605000000000004
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-04,105392,9.0,20.85,Green electricity,Summer tires,1,0,0,Moderate,24.04,0,0,7.439999999999998,0,9,fall,weekend,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-08-04,105383,21.0,4.22,Electricity,Summer tires,1,0,0,Normal,24.04,0,1,7.439999999999998,0,8,summer,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-04,105362,21.0,3.3,Electricity,Summer tires,1,0,0,Normal,24.04,0,1,7.439999999999998,0,7,summer,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-04,105341,63.0,4.83,Green electricity,Summer tires,1,0,0,Moderate,24.04,0,0,7.439999999999998,0,6,summer,weekend,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-04,105278,14.0,10.09,Electricity,Summer tires,1,0,0,Normal,24.04,0,0,7.439999999999998,0,5,spring,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-04,105264,11.0,3.8,Electricity,Summer tires,1,0,0,Moderate,24.04,0,1,7.439999999999998,0,4,spring,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-04,105253,33.0,4.1,Electricity,Summer tires,1,0,1,Moderate,24.04,0,0,7.439999999999998,0,4,spring,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-04,105220,107.0,3.1,Green electricity,Summer tires,1,1,1,Normal,24.04,0,1,7.439999999999998,0,4,spring,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-04,105113,0.1,15.77,Green electricity,Summer tires,1,1,1,Normal,23.93,0,1,7.329999999999998,0,4,spring,weekday,23.985
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-04,105113,26.0,10.5,Electricity,Summer tires,1,0,1,Normal,23.93,0,1,7.329999999999998,0,2,winter,weekday,23.93
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-04,105087,1.0,3.0,Green electricity,Summer tires,1,0,0,Normal,23.93,0,1,7.329999999999998,0,2,winter,weekday,23.93
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-04,105086,24.0,5.0,Green electricity,Summer tires,1,0,0,Normal,23.93,0,1,7.329999999999998,0,2,winter,weekday,23.93
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-31,105062,113.0,5.0,Green electricity,Summer tires,1,0,1,Normal,23.93,0,1,7.329999999999998,0,3,spring,weekday,23.93
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-27,104949,82.0,16.21,Green electricity,Summer tires,1,0,1,Normal,19.77,0,0,3.169999999999998,0,3,spring,weekend,21.85
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-21,104867,18.0,4.21,Green electricity,Summer tires,1,0,1,Normal,18.1,0,0,1.5,0,3,spring,weekday,18.935000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-20,104849,39.0,6.52,Green electricity,Summer tires,1,0,1,Normal,16.72,0,0,0.1199999999999974,0,3,spring,weekend,17.410000000000004
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-20,104810,14.0,11.0,Green electricity,Summer tires,1,0,0,Normal,22.68,0,0,6.079999999999998,0,3,spring,weekend,19.700000000000003
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-18,104796,67.0,13.2,Green electricity,Summer tires,1,0,1,Normal,22.68,0,0,6.079999999999998,0,3,spring,weekday,22.68
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-16,104729,29.0,8.8,Green electricity,Summer tires,1,0,0,Normal,22.68,0,0,6.079999999999998,0,3,spring,weekday,22.68
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-14,104700,161.0,26.1,Green electricity,Summer tires,1,1,1,Normal,22.68,0,0,6.079999999999998,0,3,spring,weekday,22.68
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-03,104539,22.0,4.67,Green electricity,Summer tires,1,0,0,Normal,21.23,0,0,4.629999999999999,0,12,winter,weekend,21.955000000000002
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-11-03,104517,11.0,3.23,Green electricity,Summer tires,1,0,0,Normal,29.36,0,1,12.759999999999998,0,11,fall,weekday,25.295
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-10-03,104506,11.0,4.08,Green electricity,Summer tires,1,0,0,Normal,37.09,0,1,20.49,0,10,fall,weekday,33.225
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-03,104495,11.0,5.41,Green electricity,Summer tires,1,0,0,Fast,49.18,0,1,32.58,0,9,fall,weekend,43.135000000000005
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-08-03,104484,11.0,24.0,Green electricity,Summer tires,1,0,0,Normal,30.8,0,1,14.2,0,8,summer,weekday,39.99
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-03,104473,56.0,2.74,Green electricity,Summer tires,1,0,1,Normal,30.8,0,1,14.2,0,7,summer,weekend,30.8
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-03,104417,33.0,4.06,Electricity,Summer tires,1,0,1,Normal,30.8,0,1,14.2,0,7,summer,weekend,30.8
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-03,104384,0.1,7.65,Green electricity,Summer tires,1,0,1,Normal,27.74,0,1,11.139999999999995,0,6,summer,weekday,29.27
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-03,104384,73.0,12.63,Green electricity,Summer tires,1,0,1,Normal,27.74,0,1,11.139999999999995,0,5,spring,weekday,27.74
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-03,104311,19.0,8.4,Green electricity,Summer tires,1,0,1,Normal,44.21,0,1,27.61,0,4,spring,weekend,35.975
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-03-03,104292,46.0,15.2,Green electricity,Summer tires,1,0,1,Normal,33.04,0,1,16.439999999999998,0,3,spring,weekday,38.625
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-26,104246,13.0,3.94,Green electricity,Summer tires,1,0,1,Moderate,20.46,0,0,3.86,0,2,winter,weekend,26.749999999999996
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-26,104233,35.0,5.88,Green electricity,Summer tires,1,0,1,Moderate,20.46,0,1,3.86,0,2,winter,weekend,20.46
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-25,104198,11.0,2.71,Green electricity,Summer tires,1,0,0,Moderate,24.64,0,0,8.04,0,2,winter,weekday,22.549999999999997
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-23,104187,2.0,20.51,Green electricity,All-year tires,1,0,0,Moderate,19.51,0,0,2.91,0,2,winter,weekday,22.074999999999996
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-23,104185,32.0,6.0,Electricity,All-year tires,1,0,0,Moderate,19.51,0,0,2.91,0,2,winter,weekday,19.51
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-21,104153,145.0,5.5,Electricity,All-year tires,1,1,1,Moderate,19.51,0,0,2.91,0,2,winter,weekday,19.51
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-19,104008,30.0,6.33,Green electricity,All-year tires,1,0,0,Normal,21.1,0,0,4.5,0,2,winter,weekend,20.305
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-18,203978,0.1,5.92,Electricity,All-year tires,1,0,0,Normal,23.9,0,1,7.299999999999997,0,2,winter,weekday,22.499999999999996
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-17,103979,46.0,5.1,Electricity,All-year tires,1,0,0,Normal,23.9,0,1,7.299999999999997,0,2,winter,weekday,23.9
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-15,103933,11.0,3.09,Electricity,All-year tires,1,0,0,Normal,28.09,0,0,11.489999999999998,0,2,winter,weekday,25.994999999999997
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-14,103922,11.0,2.7,Electricity,All-year tires,1,0,0,Normal,26.35,0,0,9.75,0,2,winter,weekday,27.22
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-02-14,103911,12.0,1.28,Electricity,All-year tires,1,0,0,Normal,26.35,0,1,9.75,0,2,winter,weekday,26.35
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-02,103899,26.0,5.65,Electricity,All-year tires,1,0,0,Normal,21.73,0,1,5.129999999999999,0,12,winter,weekday,24.04
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-02,103873,3.0,5.5,Electricity,All-year tires,1,0,0,Normal,18.52,0,1,1.9199999999999984,0,12,winter,weekday,20.124999999999996
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-12-02,103870,10.0,3.0,Electricity,All-year tires,1,0,0,Normal,18.52,0,1,1.9199999999999984,0,12,winter,weekday,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-11-02,103863,14.0,4.56,Electricity,All-year tires,1,0,0,Normal,18.52,0,1,1.9199999999999984,0,11,fall,weekday,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-11-02,103849,11.0,2.22,Electricity,All-year tires,1,0,0,Normal,18.52,0,1,1.9199999999999984,0,11,fall,weekday,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-10-02,103838,12.0,2.7,Electricity,All-year tires,1,0,0,Normal,18.52,0,1,1.9199999999999984,0,10,fall,weekend,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-09-02,103826,49.0,19.25,Electricity,All-year tires,1,0,0,Moderate,18.52,0,1,1.9199999999999984,0,9,fall,weekday,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-02,103777,62.0,7.0,Electricity,All-year tires,1,0,1,Normal,18.52,0,1,1.9199999999999984,0,7,summer,weekend,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-07-02,103715,137.0,10.95,Electricity,All-year tires,1,1,1,Normal,18.52,0,1,1.9199999999999984,0,7,summer,weekend,18.52
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-06-02,103578,128.0,27.82,Electricity,All-year tires,0,1,1,Normal,24.08,0,1,7.479999999999997,0,6,summer,weekday,21.299999999999997
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-02,103450,123.0,28.32,Electricity,All-year tires,0,1,1,Normal,26.11,0,1,9.509999999999998,0,5,spring,weekday,25.094999999999995
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-05-02,103327,9.0,3.0,Electricity,All-year tires,1,0,0,Normal,33.33,0,0,16.729999999999997,0,5,spring,weekday,29.719999999999995
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-04-02,103318,49.0,28.28,Electricity,All-year tires,1,0,0,Normal,25.8,0,1,9.2,0,4,spring,weekend,29.564999999999998
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-29,103269,13.0,1.36,Electricity,All-year tires,1,0,1,Normal,25.8,0,1,9.2,0,1,winter,weekend,25.8
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-29,103256,7.0,6.5,Electricity,All-year tires,1,0,0,Normal,25.8,0,1,9.2,0,1,winter,weekend,25.8
Mercedes-Benz,B-Klasse,2015,B250e,132,2022-01-28,103249,35.0,7.7,Electricity,All-year tires,1,0,1,Normal,25.8,0,1,9.2,0,1,winter,weekday,25.8
